Position,TeamName,Herkunft,FIX
1,Blutgrätsche,Lübeck,1
2,Wadenbeisser,Lübeck,1
3,Nordische Sport Amatuere (NSA),Flensburg,1
4,Victim,Rethwisch,1
5,Die Leere Menge,Greifswald,0
6,Fischkoppkrieger,Kiel,1
7,Cranium ex Machina,Hamburg,0
8,Wütende Tintenfische,Kiel,0
9,Haralds Blauzähne,Breitenfelde,0
10,Torpedo Bääm!,Hamburg,1
11,Agustiner,Neuruppin,0
12,Living Undeads,Hannover,0
13,Lokomotive Black Ninja,Göttingen,0
14,Keiler,Oldenburg,0
15,Día de los Muertos II,?,0
16,Likedeeler,Rostock,1
17,HaWu AllstarZ,Gevelsberg,0
18,Falco jugger,Berlin,0
19,Grüneburg,Lüneburg,0
